kingdom	phylum	class	order	family	genus
OTU_15147	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_15154	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Veillonellaceae	
OTU_15160	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales		
OTU_15195	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_15198	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_15205	k__Bacteria					
OTU_15208	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	
OTU_15213	Unassigned					
OTU_15216	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_15223	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_15233	k__Bacteria					
OTU_15242	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_15243	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	
OTU_15264	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_15268	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_15272	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_15276	k__Bacteria					
OTU_15284	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_15293	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_15303	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_15305	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	
OTU_15309	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_15312	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_15317	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_15323	k__Bacteria					
OTU_15324	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	
OTU_15326	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae 1	
OTU_15337	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_15339	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_15340	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_15380	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_15382	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_15384	k__Bacteria					
OTU_15393	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_15404	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_15410	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_15419	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia			
OTU_15433	k__Bacteria	p__Bacteroidetes	c__Bacteroidia			
OTU_15447	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Dietziaceae	
OTU_15450	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_15457	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_15470	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_15507	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_15511	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_15513	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_15532	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_15534	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_15547	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_15560	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales		
OTU_15566	k__Bacteria	p__Proteobacteria				
OTU_15570	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_15576	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	
OTU_15582	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_15590	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_15601	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_15602	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_15605	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_15610	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_15612	k__Bacteria					
OTU_15626	k__Bacteria					
OTU_15633	k__Bacteria					
OTU_15640	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_15641	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_15649	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	
OTU_15653	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_15658	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	
OTU_15672	k__Bacteria					
OTU_15674	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales		
OTU_15676	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_15693	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_15706	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_15713	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_15714	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_15733	k__Bacteria					
OTU_15739	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_15742	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_15754	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_15765	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_15766	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	
OTU_15777	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_15784	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_15798	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_15800	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_15806	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_15808	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_15813	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_15814	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_15816	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_15820	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_15831	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_15832	k__Bacteria					
OTU_15838	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_15855	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_15856	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_15857	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_15862	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_15864	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_15870	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_15879	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_15886	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria			
OTU_15896	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_15898	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_15903	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_15905	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_15915	k__Bacteria					
OTU_15918	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_15928	k__Bacteria	p__Bacteroidetes	c__Bacteroidia			
OTU_15937	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_15949	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_15962	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_15969	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_15972	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_15975	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_15976	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_15977	k__Bacteria					
OTU_15979	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_15981	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_15984	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_15986	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales		
OTU_15990	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_15991	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_16031	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	
OTU_16032	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_16034	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_16041	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16049	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_16060	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	
OTU_16062	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_16063	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_16068	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_16071	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_16077	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	
OTU_16079	k__Bacteria					
OTU_16091	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_16093	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_16100	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	
OTU_16108	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_16110	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales		
OTU_16117	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_16124	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16130	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_16136	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_16137	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_16141	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16143	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16146	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_16158	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_16167	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16174	k__Bacteria	p__Bacteroidetes	c__Bacteroidia			
OTU_16179	Unassigned					
OTU_16188	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_16192	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_16201	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_16218	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16230	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_16241	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_16254	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	
OTU_16268	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_16269	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_16271	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_16278	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales		
OTU_16292	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	
OTU_16302	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_16310	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	
OTU_16330	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_16393	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	
OTU_16395	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16401	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales		
OTU_16405	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_16412	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_16420	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_16434	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16442	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales		
OTU_16444	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16455	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_16456	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_16458	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16461	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	
OTU_16464	k__Bacteria					
OTU_16469	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_16473	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_16480	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16489	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16521	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16548	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_16556	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_16571	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_16575	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_16591	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_16593	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_16598	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_16614	k__Bacteria					
OTU_16618	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_16619	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16623	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_16639	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_16648	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16650	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_16666	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_16672	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_16673	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16676	k__Bacteria	p__Bacteroidetes	c__Bacteroidia			
OTU_16680	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_16683	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_16693	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_16695	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_16696	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_16709	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16711	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16715	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16720	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_16722	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16724	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_16725	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16726	k__Bacteria					
OTU_16727	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_16730	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_16733	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_16748	k__Bacteria	p__Bacteroidetes	c__Bacteroidia			
OTU_16756	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_16764	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_16780	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_16781	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_16790	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16800	k__Bacteria					
OTU_16810	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16811	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_16813	k__Bacteria					
OTU_16829	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16831	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_16832	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales		
OTU_16848	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_16862	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_16865	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales		
OTU_16868	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_16873	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_16878	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_16888	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	
OTU_16893	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_16895	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_16903	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	
OTU_16905	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_16913	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16936	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	
OTU_16941	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_16942	k__Bacteria					
OTU_16944	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_16945	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_16946	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_16951	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_16958	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_16959	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_16970	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_16988	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales		
OTU_17004	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_17007	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_17008	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_17009	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_17019	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_17028	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_17032	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_17039	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_17040	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_17054	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_17063	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_17072	k__Bacteria	p__Firmicutes				
OTU_17084	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_17110	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_17111	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_17112	k__Bacteria					
OTU_17114	k__Bacteria					
OTU_17117	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_17125	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_17128	k__Bacteria	p__Firmicutes				
OTU_17139	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales		
OTU_17143	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_17188	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_17209	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	
OTU_17218	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales		
OTU_17219	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_17255	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_17267	k__Bacteria					
OTU_17270	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_17280	k__Bacteria					
OTU_17282	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_17289	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_17293	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	
OTU_17299	k__Bacteria	p__Firmicutes				
OTU_17301	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_17307	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_17313	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_17326	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_17328	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_17335	k__Bacteria	p__Proteobacteria				
OTU_17345	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_17351	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_17353	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_17356	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_17370	k__Bacteria	p__Firmicutes				
OTU_17373	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_17378	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_17381	k__Bacteria	p__Firmicutes				
OTU_17382	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_17388	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_17392	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_17400	k__Bacteria	p__Bacteroidetes	c__Bacteroidia			
OTU_17408	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_17419	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
